Source	Target
LITTLE, ABNER	PRINCESS ZANDA
LITTLE, ABNER	BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL	PRINCESS ZANDA
STEELE, SIMON/WOLFGA	FORTUNE, DOMINIC
STEELE, SIMON/WOLFGA	ERWIN, CLYTEMNESTRA
STEELE, SIMON/WOLFGA	IRON MAN/TONY STARK
STEELE, SIMON/WOLFGA	IRON MAN IV/JAMES R.
STEELE, SIMON/WOLFGA	RAVEN, SABBATH II/EL
RAVEN, SABBATH II/EL	FORTUNE, DOMINIC
RAVEN, SABBATH II/EL	ERWIN, CLYTEMNESTRA
RAVEN, SABBATH II/EL	IRON MAN/TONY STARK
RAVEN, SABBATH II/EL	IRON MAN IV/JAMES R.
IRON MAN IV/JAMES R.	FORTUNE, DOMINIC
IRON MAN IV/JAMES R.	ERWIN, CLYTEMNESTRA
IRON MAN IV/JAMES R.	IRON MAN/TONY STARK
IRON MAN/TONY STARK	FORTUNE, DOMINIC
IRON MAN/TONY STARK	ERWIN, CLYTEMNESTRA
ERWIN, CLYTEMNESTRA	FORTUNE, DOMINIC
BLACK PANTHER/T'CHAL	CARNIVORE/COUNT ANDR
LITTLE, ABNER	CARNIVORE/COUNT ANDR
CARNIVORE/COUNT ANDR	PRINCESS ZANDA
GHOST	IRON MAN/TONY STARK
GHOST	ZIMMER, ABE
GHOST	IRON MAN IV/JAMES R.
IRON MAN IV/JAMES R.	ZIMMER, ABE
ZIMMER, ABE	IRON MAN/TONY STARK
FU MANCHU	TARR, BLACK JACK
FU MANCHU	SMITH, SIR DENIS NAY
FU MANCHU	SHANG-CHI
SHANG-CHI	TARR, BLACK JACK
SHANG-CHI	SMITH, SIR DENIS NAY
SMITH, SIR DENIS NAY	TARR, BLACK JACK
STARSHINE II/BRANDY	ROM, SPACEKNIGHT
SHANG-CHI	MAN-THING/THEODORE T
SMITH, SIR DENIS NAY	MAN-THING/THEODORE T
MAN-THING/THEODORE T	FU MANCHU
MAN-THING/THEODORE T	TARR, BLACK JACK
WU, LEIKO	DOCTOR DREDD
WU, LEIKO	TARR, BLACK JACK
WU, LEIKO	STARSHINE II/BRANDY
WU, LEIKO	SHANG-CHI
WU, LEIKO	ROM, SPACEKNIGHT
WU, LEIKO	RESTON, CLIVE
WU, LEIKO	SMITH, SIR DENIS NAY
WU, LEIKO	JACKSON, STEVE
JACKSON, STEVE	DOCTOR DREDD
JACKSON, STEVE	TARR, BLACK JACK
JACKSON, STEVE	STARSHINE II/BRANDY
JACKSON, STEVE	SHANG-CHI
JACKSON, STEVE	ROM, SPACEKNIGHT
JACKSON, STEVE	RESTON, CLIVE
JACKSON, STEVE	SMITH, SIR DENIS NAY
SMITH, SIR DENIS NAY	DOCTOR DREDD
SMITH, SIR DENIS NAY	STARSHINE II/BRANDY
SMITH, SIR DENIS NAY	ROM, SPACEKNIGHT
SMITH, SIR DENIS NAY	RESTON, CLIVE
RESTON, CLIVE	DOCTOR DREDD
RESTON, CLIVE	TARR, BLACK JACK
RESTON, CLIVE	STARSHINE II/BRANDY
RESTON, CLIVE	SHANG-CHI
RESTON, CLIVE	ROM, SPACEKNIGHT
ROM, SPACEKNIGHT	DOCTOR DREDD
ROM, SPACEKNIGHT	TARR, BLACK JACK
ROM, SPACEKNIGHT	SHANG-CHI
SHANG-CHI	DOCTOR DREDD
SHANG-CHI	STARSHINE II/BRANDY
STARSHINE II/BRANDY	DOCTOR DREDD
STARSHINE II/BRANDY	TARR, BLACK JACK
TARR, BLACK JACK	DOCTOR DREDD
MYSTIQUE/RAVEN DARKH	BLOB/FRED J. DUKES
MYSTIQUE/RAVEN DARKH	TORPEDO III/BROCK JO
MYSTIQUE/RAVEN DARKH	PYRO/ALLERDYCE JOHNN
MYSTIQUE/RAVEN DARKH	AVALANCHE/DOMINIC PE
MYSTIQUE/RAVEN DARKH	ROGUE /
MYSTIQUE/RAVEN DARKH	DESTINY II/IRENE ADL
MYSTIQUE/RAVEN DARKH	ROM, SPACEKNIGHT
MYSTIQUE/RAVEN DARKH	HYBRID/JAMES JIMMY M
HYBRID/JAMES JIMMY M	BLOB/FRED J. DUKES
HYBRID/JAMES JIMMY M	TORPEDO III/BROCK JO
HYBRID/JAMES JIMMY M	PYRO/ALLERDYCE JOHNN
HYBRID/JAMES JIMMY M	AVALANCHE/DOMINIC PE
HYBRID/JAMES JIMMY M	ROGUE /
HYBRID/JAMES JIMMY M	DESTINY II/IRENE ADL
HYBRID/JAMES JIMMY M	ROM, SPACEKNIGHT
ROM, SPACEKNIGHT	BLOB/FRED J. DUKES
ROM, SPACEKNIGHT	TORPEDO III/BROCK JO
ROM, SPACEKNIGHT	PYRO/ALLERDYCE JOHNN
ROM, SPACEKNIGHT	AVALANCHE/DOMINIC PE
ROM, SPACEKNIGHT	ROGUE /
ROM, SPACEKNIGHT	DESTINY II/IRENE ADL
DESTINY II/IRENE ADL	BLOB/FRED J. DUKES
DESTINY II/IRENE ADL	TORPEDO III/BROCK JO
DESTINY II/IRENE ADL	PYRO/ALLERDYCE JOHNN
DESTINY II/IRENE ADL	AVALANCHE/DOMINIC PE
DESTINY II/IRENE ADL	ROGUE /
ROGUE /	BLOB/FRED J. DUKES
ROGUE /	TORPEDO III/BROCK JO
ROGUE /	PYRO/ALLERDYCE JOHNN
ROGUE /	AVALANCHE/DOMINIC PE
AVALANCHE/DOMINIC PE	BLOB/FRED J. DUKES
AVALANCHE/DOMINIC PE	TORPEDO III/BROCK JO
AVALANCHE/DOMINIC PE	PYRO/ALLERDYCE JOHNN
PYRO/ALLERDYCE JOHNN	BLOB/FRED J. DUKES
PYRO/ALLERDYCE JOHNN	TORPEDO III/BROCK JO
TORPEDO III/BROCK JO	BLOB/FRED J. DUKES
CLARK, SARAH	TORPEDO III/BROCK JO
CLARK, SARAH	KILLBURN, MACK
CLARK, SARAH	STARSHINE II/BRANDY
CLARK, SARAH	JONES, TAMMY ANNE
CLARK, SARAH	JACKSON, STEVE
