src;dest;subject
3;9;DFP
3;10;DFP
3;12;DFP
3;17;DFP
3;18;DFP
3;19;DFP
9;10;DFP
9;12;DFP
9;17;DFP
9;18;DFP
9;19;DFP
10;12;DFP
10;17;DFP
10;18;DFP
10;19;DFP
12;17;DFP
12;18;DFP
12;19;DFP
17;18;DFP
17;19;DFP
18;19;DFP
0;1;SiS1
0;4;SiS1
0;6;SiS1
0;10;SiS1
0;11;SiS1
0;12;SiS1
0;15;SiS1
0;17;SiS1
0;19;SiS1
1;4;SiS1
1;6;SiS1
1;10;SiS1
1;11;SiS1
1;12;SiS1
1;15;SiS1
1;17;SiS1
1;19;SiS1
4;6;SiS1
4;10;SiS1
4;11;SiS1
4;12;SiS1
4;15;SiS1
4;17;SiS1
4;19;SiS1
6;10;SiS1
6;11;SiS1
6;12;SiS1
6;15;SiS1
6;17;SiS1
6;19;SiS1
10;11;SiS1
10;12;SiS1
10;15;SiS1
10;17;SiS1
10;19;SiS1
11;12;SiS1
11;15;SiS1
11;17;SiS1
11;19;SiS1
12;15;SiS1
12;17;SiS1
12;19;SiS1
15;17;SiS1
15;19;SiS1
17;19;SiS1
1;6;POO
1;7;POO
1;8;POO
1;10;POO
1;11;POO
1;14;POO
1;15;POO
1;17;POO
6;7;POO
6;8;POO
6;10;POO
6;11;POO
6;14;POO
6;15;POO
6;17;POO
7;8;POO
7;10;POO
7;11;POO
7;14;POO
7;15;POO
7;17;POO
8;10;POO
8;11;POO
8;14;POO
8;15;POO
8;17;POO
10;11;POO
10;14;POO
10;15;POO
10;17;POO
11;14;POO
11;15;POO
11;17;POO
14;15;POO
14;17;POO
15;17;POO
1;2;P
1;5;P
1;6;P
1;10;P
1;12;P
1;13;P
1;16;P
1;20;P
1;21;P
2;5;P
2;6;P
2;10;P
2;12;P
2;13;P
2;16;P
2;20;P
2;21;P
5;6;P
5;10;P
5;12;P
5;13;P
5;16;P
5;20;P
5;21;P
6;10;P
6;12;P
6;13;P
6;16;P
6;20;P
6;21;P
10;12;P
10;13;P
10;16;P
10;20;P
10;21;P
12;13;P
12;16;P
12;20;P
12;21;P
13;16;P
13;20;P
13;21;P
16;20;P
16;21;P
20;21;P
